Linux 3.10.0-693.11.6.el7.x86_64 (blockchainmaster151) 	03/22/2018 	_x86_64_	(32 CPU)

09:28:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:32:51 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:32:52 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:32:53 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:54 AM     all      1.35      0.00      0.13      0.00      0.00     98.53
09:32:55 AM     all      1.41      0.00      0.09      0.00      0.00     98.50
09:32:56 AM     all      1.44      0.00      0.09      0.03      0.00     98.44
09:32:57 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:58 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:32:59 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:33:00 AM     all      1.50      0.00      0.09      0.03      0.00     98.37
09:33:01 AM     all      1.59      0.00      0.03      0.00      0.00     98.37
09:33:02 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:33:03 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:33:04 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:33:05 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:33:06 AM     all      1.47      0.00      0.06      0.03      0.00     98.44
09:33:07 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:33:08 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:33:09 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:33:10 AM     all      1.44      0.00      0.03      0.03      0.00     98.50
09:33:11 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:33:12 AM     all      1.50      0.00      0.03      0.00      0.00     98.47
09:33:13 AM     all      1.41      0.00      0.06      0.00      0.00     98.53
09:33:14 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:33:15 AM     all      1.63      0.00      0.06      0.00      0.00     98.31
09:33:16 AM     all      1.50      0.00      0.09      0.03      0.00     98.38
09:33:17 AM     all      1.47      0.00      0.13      0.00      0.00     98.41
09:33:18 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:33:19 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:33:20 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:33:21 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:33:22 AM     all      1.50      0.00      0.09      0.03      0.00     98.38
09:33:23 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:33:24 AM     all      1.63      0.00      0.16      0.00      0.00     98.22
09:33:25 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:33:26 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:33:27 AM     all      1.56      0.00      0.06      0.03      0.00     98.34
09:33:28 AM     all      1.66      0.00      0.09      0.00      0.00     98.25
09:33:29 AM     all      1.63      0.00      0.06      0.00      0.00     98.31
09:33:30 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:33:31 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:33:32 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:33:33 AM     all      1.50      0.00      0.06      0.03      0.00     98.41
09:33:34 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:33:35 AM     all      1.53      0.00      0.03      0.00      0.00     98.44
09:33:36 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:33:37 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:33:38 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:33:39 AM     all      1.47      0.00      0.06      0.03      0.00     98.44
09:33:40 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:33:41 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:33:42 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:33:43 AM     all      1.63      0.00      0.09      0.00      0.00     98.28
09:33:44 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:33:45 AM     all      1.50      0.00      0.06      0.03      0.00     98.41
09:33:46 AM     all      1.50      0.00      0.03      0.00      0.00     98.47
09:33:47 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:33:48 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:33:49 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:33:50 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:33:51 AM     all      1.47      0.00      0.12      0.03      0.00     98.38
09:33:52 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:33:53 AM     all      1.47      0.00      0.12      0.00      0.00     98.41
09:33:54 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:33:55 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:33:56 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:33:57 AM     all      1.63      0.00      0.09      0.03      0.00     98.25
09:33:58 AM     all      1.50      0.00      0.03      0.00      0.00     98.47
09:33:59 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:34:00 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:34:01 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:34:02 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:34:03 AM     all      1.44      0.00      0.03      0.03      0.00     98.50
09:34:04 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:34:05 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:34:06 AM     all      1.59      0.00      0.06      0.00      0.00     98.34
09:34:07 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:34:08 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:34:09 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:10 AM     all      1.50      0.00      0.06      0.03      0.00     98.41
09:34:11 AM     all      1.78      0.00      0.19      0.00      0.00     98.03
09:34:12 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:34:13 AM     all      1.41      0.00      0.06      0.00      0.00     98.53
09:34:14 AM     all      1.41      0.00      0.03      0.00      0.00     98.56
09:34:15 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:34:16 AM     all      1.47      0.00      0.03      0.03      0.00     98.47
09:34:17 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:18 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:34:19 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:20 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:34:21 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:34:22 AM     all      1.47      0.00      0.09      0.03      0.00     98.41
09:34:23 AM     all      1.50      0.00      0.03      0.00      0.00     98.47
09:34:24 AM     all      1.69      0.00      0.13      0.00      0.00     98.19
09:34:25 AM     all      1.59      0.00      0.03      0.00      0.00     98.37
09:34:26 AM     all      1.44      0.00      0.06      0.03      0.00     98.47
09:34:27 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:28 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:29 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:30 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:34:31 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:34:32 AM     all      1.59      0.00      0.09      0.03      0.00     98.28
09:34:33 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:34:34 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:34:35 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:34:36 AM     all      1.47      0.00      0.03      0.03      0.00     98.47
09:34:37 AM     all      1.41      0.00      0.06      0.00      0.00     98.53
09:34:38 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:34:39 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:34:40 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:34:41 AM     all      1.56      0.00      0.09      0.00      0.00     98.34
09:34:42 AM     all      1.62      0.00      0.06      0.03      0.00     98.28
09:34:43 AM     all      1.38      0.00      0.09      0.00      0.00     98.53
09:34:44 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:45 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:34:46 AM     all      1.47      0.00      0.03      0.03      0.00     98.47
